Time (UTC),Open,High,Low,Close,Volume
2007.10.16 21:00:00,1.41733,1.42311,1.41571,1.42066,764567.849
2007.10.17 21:00:00,1.42075,1.43101,1.41947,1.42944,763068.534
2007.10.18 21:00:00,1.42942,1.43197,1.42431,1.43009,767950.958
2007.10.21 21:00:00,1.43067,1.43506,1.41238,1.41822,766153.233
2007.10.22 21:00:00,1.4182,1.42792,1.4168,1.42637,769411.18
2007.10.23 21:00:00,1.42641,1.42708,1.41884,1.42672,763853.425
2007.10.24 21:00:00,1.42674,1.43453,1.4246,1.43242,764195.119
2007.10.25 21:00:00,1.43244,1.43976,1.43152,1.43932,765074.339
2007.10.28 21:00:00,1.44176,1.44382,1.43748,1.44254,726997.857
2007.10.29 21:00:00,1.44247,1.44429,1.43721,1.44333,769929.921
2007.10.30 21:00:00,1.44318,1.45042,1.44182,1.44856,764659.74
2007.10.31 21:00:00,1.44874,1.44895,1.44005,1.44237,766539.144
2007.11.01 21:00:00,1.4424,1.45291,1.44132,1.45043,768722.927
2007.11.04 22:00:00,1.45148,1.45253,1.44416,1.44707,793293.713
2007.11.05 22:00:00,1.44697,1.45716,1.44652,1.45562,763156.51
2007.11.06 22:00:00,1.45557,1.47304,1.45519,1.46376,767723.782
2007.11.07 22:00:00,1.46355,1.47037,1.46139,1.46765,765237.365
2007.11.08 22:00:00,1.46767,1.47528,1.46296,1.46755,768539.224
2007.11.11 22:00:00,1.46725,1.46788,1.45241,1.45326,764780.79
2007.11.12 22:00:00,1.45325,1.46336,1.45185,1.46031,762503.697
2007.11.13 22:00:00,1.46015,1.47255,1.45972,1.46503,764132.41
2007.11.14 22:00:00,1.46515,1.4705,1.46029,1.46138,764702.443
2007.11.15 22:00:00,1.46109,1.46728,1.45798,1.46614,764870.294
2007.11.18 22:00:00,1.46713,1.469,1.4618,1.46635,736802.979
2007.11.19 22:00:00,1.4666,1.48525,1.4632,1.48383,764163.131
2007.11.20 22:00:00,1.48398,1.48712,1.47713,1.48573,767005.574
